Date,Price,Open,High,Low,Volume,Change,coin_name_abbrv,coin_name,Volume_in_Million
2020-04-24,7503.8,7491.3,7583.5,7423.5,951.95K,0.20%,Bit,Bitcoin,0.9519500000000001
2020-04-23,7488.5,7112.8,7655.4,7036.5,1.34M,5.28%,Bit,Bitcoin,1.34
2020-04-22,7112.9,6842.5,7137.4,6821.8,914.18K,3.95%,Bit,Bitcoin,0.91418
2020-04-21,6842.5,6833.4,6919.3,6774.3,892.57K,0.13%,Bit,Bitcoin,0.8925700000000001
2020-04-20,6833.5,7122.9,7207.5,6771.2,1.26M,-4.06%,Bit,Bitcoin,1.26
2020-04-19,7122.9,7230.9,7238.0,7079.1,5.93M,-1.49%,Bit,Bitcoin,5.93
2020-04-18,7230.8,7035.9,7259.4,7031.5,796.45K,2.77%,Bit,Bitcoin,0.79645
2020-04-17,7035.8,7085.5,7142.8,7005.8,810.10K,-0.70%,Bit,Bitcoin,0.8101
2020-04-16,7085.6,6629.1,7159.7,6520.5,1.54M,6.89%,Bit,Bitcoin,1.54
2020-04-15,6629.1,6851.3,6929.5,6615.9,1.00M,-3.24%,Bit,Bitcoin,1.0
2020-04-14,6850.9,6841.8,6970.8,6768.6,999.53K,0.14%,Bit,Bitcoin,0.9995299999999999
2020-04-13,6841.3,6918.1,6920.3,6618.5,1.25M,-1.10%,Bit,Bitcoin,1.25
2020-04-12,6917.6,6867.9,7158.8,6785.1,1.10M,0.73%,Bit,Bitcoin,1.1
2020-04-11,6867.8,6862.7,6931.4,6765.1,845.58K,0.07%,Bit,Bitcoin,0.84558
2020-04-10,6863.1,7289.0,7294.4,6756.1,1.37M,-5.84%,Bit,Bitcoin,1.37
2020-04-09,7289.0,7361.1,7361.1,7140.3,963.55K,-0.98%,Bit,Bitcoin,0.9635499999999999
2020-04-08,7361.2,7185.6,7396.1,7153.1,983.94K,2.45%,Bit,Bitcoin,0.98394
2020-04-07,7185.2,7332.3,7440.3,7101.7,1.32M,-2.01%,Bit,Bitcoin,1.32
2020-04-06,7332.3,6772.8,7335.0,6770.1,1.53M,8.26%,Bit,Bitcoin,1.53
2020-04-05,6772.7,6857.5,6889.4,6686.0,842.33K,-1.23%,Bit,Bitcoin,0.84233
2020-04-04,6857.4,6735.9,6958.6,6679.1,1.05M,1.80%,Bit,Bitcoin,1.05
2020-04-03,6735.9,6799.9,7026.3,6623.6,1.35M,-0.95%,Bit,Bitcoin,1.35
2020-04-02,6800.5,6638.8,7182.7,6567.9,1.74M,2.44%,Bit,Bitcoin,1.74
2020-04-01,6638.5,6412.4,6661.3,6157.4,1.40M,3.52%,Bit,Bitcoin,1.4
2020-03-31,6412.5,6391.1,6513.1,6346.3,1.05M,0.34%,Bit,Bitcoin,1.05
2020-03-30,6391.0,5890.4,6576.5,5872.5,1.43M,8.50%,Bit,Bitcoin,1.43
2020-03-29,5890.4,6233.2,6258.8,5889.3,916.17K,-5.51%,Bit,Bitcoin,0.9161699999999999
2020-03-28,6233.7,6373.4,6374.3,6046.5,1.26M,-2.19%,Bit,Bitcoin,1.26
2020-03-27,6373.4,6725.5,6813.7,6322.3,1.16M,-5.23%,Bit,Bitcoin,1.16
2020-03-26,6725.1,6677.9,6772.9,6541.7,1.18M,0.69%,Bit,Bitcoin,1.18
2020-03-25,6678.9,6744.8,6930.2,6474.6,1.52M,-0.97%,Bit,Bitcoin,1.52
2020-03-24,6744.6,6468.8,6814.2,6380.8,1.73M,4.26%,Bit,Bitcoin,1.73
2020-03-23,6468.9,5822.0,6564.7,5710.8,1.88M,11.11%,Bit,Bitcoin,1.88
2020-03-22,5822.1,6186.9,6394.4,5771.2,1.48M,-5.89%,Bit,Bitcoin,1.48
2020-03-21,6186.2,6205.6,6438.3,5887.0,1.64M,-0.31%,Bit,Bitcoin,1.64
2020-03-20,6205.3,6171.6,6858.1,5748.2,2.22M,0.54%,Bit,Bitcoin,2.22
2020-03-19,6172.0,5359.2,6379.5,5256.0,2.18M,15.12%,Bit,Bitcoin,2.18
2020-03-18,5361.4,5260.7,5373.1,5020.9,1.80M,1.91%,Bit,Bitcoin,1.8
2020-03-17,5261.1,5030.2,5432.8,4946.5,1.89M,4.59%,Bit,Bitcoin,1.89
2020-03-16,5030.0,5366.4,5369.3,4477.7,2.55M,-6.27%,Bit,Bitcoin,2.55
2020-03-15,5366.3,5182.9,5863.3,5120.6,1.61M,3.54%,Bit,Bitcoin,1.61
2020-03-14,5182.7,5589.4,5634.9,5072.2,1.69M,-7.19%,Bit,Bitcoin,1.69
2020-03-13,5584.3,4815.2,5934.3,3869.5,4.17M,15.71%,Bit,Bitcoin,4.17
2020-03-12,4826.0,7935.2,7963.1,4546.6,3.22M,-39.18%,Bit,Bitcoin,3.22
2020-03-11,7935.1,7892.1,7976.5,7606.0,1.10M,0.56%,Bit,Bitcoin,1.1
2020-03-10,7891.2,7933.0,8145.5,7740.2,1.20M,-0.53%,Bit,Bitcoin,1.2
2020-03-09,7933.0,8035.8,8158.8,7648.7,1.54M,-1.26%,Bit,Bitcoin,1.54
2020-03-08,8034.1,8887.8,8888.0,8015.3,1.11M,-9.61%,Bit,Bitcoin,1.11
2020-03-07,8887.8,9134.2,9180.8,8848.7,750.65K,-2.70%,Bit,Bitcoin,0.7506499999999999
2020-03-06,9134.8,9060.6,9165.2,9004.9,1.04M,0.82%,Bit,Bitcoin,1.04
2020-03-05,9060.3,8757.9,9147.3,8751.5,950.76K,3.45%,Bit,Bitcoin,0.9507599999999999
2020-03-04,8757.9,8761.3,8840.3,8679.7,759.69K,-0.04%,Bit,Bitcoin,0.7596900000000001
2020-03-03,8761.4,8906.1,8911.7,8669.3,1.01M,-1.61%,Bit,Bitcoin,1.01
2020-03-02,8904.8,8537.5,8961.8,8503.1,1.02M,4.27%,Bit,Bitcoin,1.02
2020-03-01,8540.0,8543.8,8737.2,8437.2,784.05K,-0.04%,Bit,Bitcoin,0.7840499999999999
2020-02-29,8543.7,8697.1,8793.7,8539.8,683.44K,-1.77%,Bit,Bitcoin,0.68344
2020-02-28,8697.5,8820.1,8898.7,8451.9,1.08M,-1.37%,Bit,Bitcoin,1.08
2020-02-27,8818.6,8800.1,8968.3,8538.5,1.13M,0.21%,Bit,Bitcoin,1.13
2020-02-26,8800.3,9317.1,9368.1,8672.0,1.32M,-5.55%,Bit,Bitcoin,1.32
2020-02-25,9317.2,9662.6,9672.3,9269.8,937.97K,-3.57%,Bit,Bitcoin,0.9379700000000001
2020-02-24,9662.7,9943.2,9981.0,9507.0,980.00K,-2.82%,Bit,Bitcoin,0.98
2020-02-23,9942.7,9655.6,9965.6,9653.4,775.88K,2.97%,Bit,Bitcoin,0.77588
2020-02-22,9655.7,9684.5,9706.5,9569.8,589.88K,-0.30%,Bit,Bitcoin,0.58988
2020-02-21,9684.5,9602.2,9747.1,9574.5,716.61K,0.85%,Bit,Bitcoin,0.71661
2020-02-20,9602.4,9611.9,9681.4,9448.9,870.80K,-0.07%,Bit,Bitcoin,0.8707999999999999
2020-02-19,9609.4,10158.6,10230.9,9424.3,905.95K,-5.40%,Bit,Bitcoin,0.90595
2020-02-18,10158.4,9701.5,10230.1,9601.6,945.91K,4.71%,Bit,Bitcoin,0.9459099999999999
2020-02-17,9701.4,9931.7,9951.5,9468.9,961.88K,-2.32%,Bit,Bitcoin,0.96188
2020-02-16,9932.3,9907.4,10056.4,9654.9,808.91K,0.25%,Bit,Bitcoin,0.80891
2020-02-15,9907.7,10336.0,10369.8,9831.7,808.81K,-4.12%,Bit,Bitcoin,0.8088099999999999
2020-02-14,10333.0,10235.5,10372.4,10125.2,732.51K,0.96%,Bit,Bitcoin,0.73251
2020-02-13,10235.1,10321.9,10482.6,10116.9,940.30K,-0.80%,Bit,Bitcoin,0.9402999999999999
2020-02-12,10317.7,10229.3,10435.6,10229.3,803.25K,0.86%,Bit,Bitcoin,0.80325
2020-02-11,10229.5,9854.0,10314.1,9725.1,791.28K,3.81%,Bit,Bitcoin,0.79128
2020-02-10,9854.1,10151.5,10181.7,9774.8,781.22K,-2.93%,Bit,Bitcoin,0.78122
2020-02-09,10151.5,9895.4,10157.1,9882.7,617.35K,2.59%,Bit,Bitcoin,0.6173500000000001
2020-02-08,9895.5,9817.3,9931.2,9673.2,551.31K,0.78%,Bit,Bitcoin,0.55131
2020-02-07,9818.6,9771.9,9872.5,9738.7,608.96K,0.48%,Bit,Bitcoin,0.6089600000000001
2020-02-06,9772.0,9611.8,9854.9,9536.1,778.67K,1.67%,Bit,Bitcoin,0.77867
2020-02-05,9611.8,9194.1,9726.8,9179.9,771.46K,4.54%,Bit,Bitcoin,0.77146
